date,latitude,longitude,uv_index
2020-01-01 12:00:00,-36,112,12.38
2020-01-01 12:00:00,-36,116,12.44
2020-01-01 12:00:00,-36,120,12.19
2020-01-01 12:00:00,-36,124,12.07
2020-01-01 12:00:00,-36,128,12.0
2020-01-01 12:00:00,-32,112,13.72
2020-01-01 12:00:00,-32,116,13.57
2020-01-01 12:00:00,-32,120,13.89
2020-01-01 12:00:00,-32,124,13.35
2020-01-01 12:00:00,-32,128,13.39
2020-01-01 12:00:00,-28,112,15.32
2020-01-01 12:00:00,-28,116,15.8
2020-01-01 12:00:00,-28,120,15.49
2020-01-01 12:00:00,-28,124,14.38
2020-01-01 12:00:00,-28,128,13.91
2020-01-01 12:00:00,-24,112,14.67
2020-01-01 12:00:00,-24,116,15.06
2020-01-01 12:00:00,-24,120,15.44
2020-01-01 12:00:00,-24,124,15.32
2020-01-01 12:00:00,-24,128,15.55
2020-01-01 12:00:00,-20,112,14.13
2020-01-01 12:00:00,-20,116,14.36
2020-01-01 12:00:00,-20,120,14.78
2020-01-01 12:00:00,-20,124,15.22
2020-01-01 12:00:00,-20,128,15.01
2020-01-01 12:00:00,-16,112,14.74
2020-01-01 12:00:00,-16,116,14.41
2020-01-01 12:00:00,-16,120,14.54
2020-01-01 12:00:00,-16,124,14.73
2020-01-01 12:00:00,-16,128,14.72
2020-01-01 12:00:00,-12,112,13.93
2020-01-01 12:00:00,-12,116,13.18
2020-01-01 12:00:00,-12,120,13.9
2020-01-01 12:00:00,-12,124,14.5
2020-01-01 12:00:00,-12,128,13.88
2020-01-02 12:00:00,-36,112,10.95
2020-01-02 12:00:00,-36,116,12.21
2020-01-02 12:00:00,-36,120,13.07
2020-01-02 12:00:00,-36,124,13.38
2020-01-02 12:00:00,-36,128,12.8
2020-01-02 12:00:00,-32,112,12.38
2020-01-02 12:00:00,-32,116,13.63
2020-01-02 12:00:00,-32,120,14.81
2020-01-02 12:00:00,-32,124,14.74
2020-01-02 12:00:00,-32,128,15.0
2020-01-02 12:00:00,-28,112,14.14
2020-01-02 12:00:00,-28,116,13.83
2020-01-02 12:00:00,-28,120,14.11
2020-01-02 12:00:00,-28,124,15.02
2020-01-02 12:00:00,-28,128,15.44
2020-01-02 12:00:00,-24,112,15.39
2020-01-02 12:00:00,-24,116,15.41
2020-01-02 12:00:00,-24,120,14.66
2020-01-02 12:00:00,-24,124,15.44
2020-01-02 12:00:00,-24,128,16.51
2020-01-02 12:00:00,-20,112,15.49
2020-01-02 12:00:00,-20,116,15.09
2020-01-02 12:00:00,-20,120,14.89
2020-01-02 12:00:00,-20,124,15.12
2020-01-02 12:00:00,-20,128,14.88
2020-01-02 12:00:00,-16,112,14.31
2020-01-02 12:00:00,-16,116,14.4
2020-01-02 12:00:00,-16,120,14.78
2020-01-02 12:00:00,-16,124,14.52
2020-01-02 12:00:00,-16,128,14.73
2020-01-02 12:00:00,-12,112,14.71
2020-01-02 12:00:00,-12,116,14.12
2020-01-02 12:00:00,-12,120,13.69
2020-01-02 12:00:00,-12,124,14.06
2020-01-02 12:00:00,-12,128,14.19
2020-01-03 12:00:00,-36,112,10.57
2020-01-03 12:00:00,-36,116,10.36
2020-01-03 12:00:00,-36,120,10.48
2020-01-03 12:00:00,-36,124,11.61
2020-01-03 12:00:00,-36,128,12.5
2020-01-03 12:00:00,-32,112,11.1
2020-01-03 12:00:00,-32,116,11.66
2020-01-03 12:00:00,-32,120,12.92
2020-01-03 12:00:00,-32,124,13.7
2020-01-03 12:00:00,-32,128,13.83
2020-01-03 12:00:00,-28,112,11.35
2020-01-03 12:00:00,-28,116,12.83
2020-01-03 12:00:00,-28,120,14.73
2020-01-03 12:00:00,-28,124,14.81
2020-01-03 12:00:00,-28,128,15.16
2020-01-03 12:00:00,-24,112,13.91
2020-01-03 12:00:00,-24,116,15.01
2020-01-03 12:00:00,-24,120,15.6
2020-01-03 12:00:00,-24,124,14.85
2020-01-03 12:00:00,-24,128,15.09
2020-01-03 12:00:00,-20,112,14.15
2020-01-03 12:00:00,-20,116,13.97
2020-01-03 12:00:00,-20,120,13.72
2020-01-03 12:00:00,-20,124,14.01
2020-01-03 12:00:00,-20,128,14.66
2020-01-03 12:00:00,-16,112,14.59
2020-01-03 12:00:00,-16,116,14.87
2020-01-03 12:00:00,-16,120,14.7
2020-01-03 12:00:00,-16,124,14.33
2020-01-03 12:00:00,-16,128,14.81
2020-01-03 12:00:00,-12,112,14.57
2020-01-03 12:00:00,-12,116,14.31
2020-01-03 12:00:00,-12,120,14.81
2020-01-03 12:00:00,-12,124,14.07
2020-01-03 12:00:00,-12,128,13.38
2020-01-04 12:00:00,-36,112,12.34
2020-01-04 12:00:00,-36,116,11.96
2020-01-04 12:00:00,-36,120,11.49
2020-01-04 12:00:00,-36,124,10.69
2020-01-04 12:00:00,-36,128,11.79
2020-01-04 12:00:00,-32,112,12.66
2020-01-04 12:00:00,-32,116,12.67
2020-01-04 12:00:00,-32,120,11.92
2020-01-04 12:00:00,-32,124,11.5
2020-01-04 12:00:00,-32,128,13.15
2020-01-04 12:00:00,-28,112,13.61
2020-01-04 12:00:00,-28,116,12.86
2020-01-04 12:00:00,-28,120,13.16
2020-01-04 12:00:00,-28,124,13.69
2020-01-04 12:00:00,-28,128,14.42
2020-01-04 12:00:00,-24,112,13.63
2020-01-04 12:00:00,-24,116,13.49
