date,latitude,longitude,uv_index
01/01/2020 12:00,-36,112,12.38
01/01/2020 12:00,-36,116,12.44
01/01/2020 12:00,-36,120,12.19
01/01/2020 12:00,-36,124,12.07
01/01/2020 12:00,-36,128,12
01/01/2020 12:00,-32,112,13.72
01/01/2020 12:00,-32,116,13.57
01/01/2020 12:00,-32,120,13.89
01/01/2020 12:00,-32,124,13.35
01/01/2020 12:00,-32,128,13.39
01/01/2020 12:00,-28,112,15.32
01/01/2020 12:00,-28,116,15.8
01/01/2020 12:00,-28,120,15.49
01/01/2020 12:00,-28,124,14.38
01/01/2020 12:00,-28,128,13.91
01/01/2020 12:00,-24,112,14.67
01/01/2020 12:00,-24,116,15.06
01/01/2020 12:00,-24,120,15.44
01/01/2020 12:00,-24,124,15.32
01/01/2020 12:00,-24,128,15.55
01/01/2020 12:00,-20,112,14.13
01/01/2020 12:00,-20,116,14.36
01/01/2020 12:00,-20,120,14.78
01/01/2020 12:00,-20,124,15.22
01/01/2020 12:00,-20,128,15.01
01/01/2020 12:00,-16,112,14.74
01/01/2020 12:00,-16,116,14.41
01/01/2020 12:00,-16,120,14.54
01/01/2020 12:00,-16,124,14.73
01/01/2020 12:00,-16,128,14.72
01/01/2020 12:00,-12,112,13.93
01/01/2020 12:00,-12,116,13.18
01/01/2020 12:00,-12,120,13.9
01/01/2020 12:00,-12,124,14.5
01/01/2020 12:00,-12,128,13.88
02/01/2020 12:00,-36,112,10.95
02/01/2020 12:00,-36,116,12.21
02/01/2020 12:00,-36,120,13.07
02/01/2020 12:00,-36,124,13.38
02/01/2020 12:00,-36,128,12.8
02/01/2020 12:00,-32,112,12.38
02/01/2020 12:00,-32,116,13.63
02/01/2020 12:00,-32,120,14.81
02/01/2020 12:00,-32,124,14.74
02/01/2020 12:00,-32,128,15
02/01/2020 12:00,-28,112,14.14
02/01/2020 12:00,-28,116,13.83
02/01/2020 12:00,-28,120,14.11
02/01/2020 12:00,-28,124,15.02
02/01/2020 12:00,-28,128,15.44
02/01/2020 12:00,-24,112,15.39
02/01/2020 12:00,-24,116,15.41
02/01/2020 12:00,-24,120,14.66
02/01/2020 12:00,-24,124,15.44
02/01/2020 12:00,-24,128,16.51
02/01/2020 12:00,-20,112,15.49
02/01/2020 12:00,-20,116,15.09
02/01/2020 12:00,-20,120,14.89
02/01/2020 12:00,-20,124,15.12
02/01/2020 12:00,-20,128,14.88
02/01/2020 12:00,-16,112,14.31
02/01/2020 12:00,-16,116,14.4
02/01/2020 12:00,-16,120,14.78
02/01/2020 12:00,-16,124,14.52
02/01/2020 12:00,-16,128,14.73
02/01/2020 12:00,-12,112,14.71
02/01/2020 12:00,-12,116,14.12
02/01/2020 12:00,-12,120,13.69
02/01/2020 12:00,-12,124,14.06
02/01/2020 12:00,-12,128,14.19
03/01/2020 12:00,-36,112,10.57
03/01/2020 12:00,-36,116,10.36
03/01/2020 12:00,-36,120,10.48
03/01/2020 12:00,-36,124,11.61
03/01/2020 12:00,-36,128,12.5
03/01/2020 12:00,-32,112,11.1
03/01/2020 12:00,-32,116,11.66
03/01/2020 12:00,-32,120,12.92
03/01/2020 12:00,-32,124,13.7
03/01/2020 12:00,-32,128,13.83
