date,latitude,longitude,uv-index,max-temperature
2021-01-12 04:00:00,-36,112,9.7,16.39
2021-01-13 04:00:00,-36,112,8.14,15.27
2021-01-14 04:00:00,-36,112,9.34,16.71
2021-01-15 04:00:00,-36,112,7.99,17.26
2021-01-16 04:00:00,-36,112,10.1,17.55
2021-01-17 04:00:00,-36,112,11.0,18.03
2021-01-18 04:00:00,-36,112,11.0,19.49
2021-01-19 04:00:00,-36,112,11.0,20.9
2021-01-12 04:00:00,-36,116,12.2,17.04
2021-01-13 04:00:00,-36,116,9.96,15.78
2021-01-14 04:00:00,-36,116,11.71,16.89
2021-01-15 04:00:00,-36,116,11.67,17.68
2021-01-16 04:00:00,-36,116,10.56,17.77
2021-01-17 04:00:00,-36,116,11.0,18.19
2021-01-18 04:00:00,-36,116,11.0,19.41
2021-01-19 04:00:00,-36,116,11.0,21.9
2021-01-12 04:00:00,-36,120,10.45,17.47
2021-01-13 04:00:00,-36,120,11.52,15.86
2021-01-14 04:00:00,-36,120,10.53,16.79
2021-01-15 04:00:00,-36,120,9.61,16.73
2021-01-16 04:00:00,-36,120,9.41,16.69
2021-01-17 04:00:00,-36,120,10.0,16.96
2021-01-18 04:00:00,-36,120,10.0,18.0
2021-01-19 04:00:00,-36,120,10.0,19.01
2021-01-12 03:00:00,-36,124,9.84,17.05
2021-01-13 03:00:00,-36,124,12.64,17.24
2021-01-14 03:00:00,-36,124,11.54,16.55
2021-01-15 03:00:00,-36,124,12.29,16.4
2021-01-16 03:00:00,-36,124,7.82,15.81
2021-01-17 03:00:00,-36,124,8.0,16.76
2021-01-18 03:00:00,-36,124,8.0,17.88
2021-01-19 03:00:00,-36,124,8.0,17.67
2021-01-12 03:00:00,-36,128,9.24,16.44
2021-01-13 03:00:00,-36,128,12.42,16.72
2021-01-14 03:00:00,-36,128,12.36,15.87
2021-01-15 03:00:00,-36,128,10.51,15.71
2021-01-16 03:00:00,-36,128,6.96,15.19
2021-01-17 03:00:00,-36,128,7.0,16.64
2021-01-18 03:00:00,-36,128,7.0,16.82
2021-01-19 03:00:00,-36,128,7.0,16.43
2021-01-12 04:00:00,-32,112,13.11,18.95
2021-01-13 04:00:00,-32,112,12.45,19.1
2021-01-14 04:00:00,-32,112,11.91,21.13
2021-01-15 04:00:00,-32,112,13.38,21.65
2021-01-16 04:00:00,-32,112,13.34,22.05
2021-01-17 04:00:00,-32,112,14.0,22.73
2021-01-18 04:00:00,-32,112,14.0,23.12
2021-01-19 04:00:00,-32,112,14.0,21.56
2021-01-12 04:00:00,-32,116,13.62,31.32
2021-01-13 04:00:00,-32,116,13.93,34.45
2021-01-14 04:00:00,-32,116,12.19,33.33
2021-01-15 04:00:00,-32,116,13.31,33.27
2021-01-16 04:00:00,-32,116,13.43,33.96
2021-01-17 04:00:00,-32,116,14.0,34.96
2021-01-18 04:00:00,-32,116,14.0,37.65
2021-01-19 04:00:00,-32,116,14.0,38.74
2021-01-12 04:00:00,-32,120,12.33,34.17
2021-01-13 04:00:00,-32,120,13.92,31.47
2021-01-14 04:00:00,-32,120,12.12,29.08
2021-01-15 04:00:00,-32,120,11.67,27.28
2021-01-16 04:00:00,-32,120,13.77,28.4
2021-01-17 04:00:00,-32,120,14.0,29.92
2021-01-18 04:00:00,-32,120,14.0,31.32
2021-01-19 04:00:00,-32,120,14.0,33.83
2021-01-12 03:00:00,-32,124,13.1,31.98
2021-01-13 03:00:00,-32,124,13.56,28.26
2021-01-14 03:00:00,-32,124,11.65,27.34
2021-01-15 03:00:00,-32,124,11.31,23.41
2021-01-16 03:00:00,-32,124,12.44,24.38
2021-01-17 03:00:00,-32,124,13.0,25.5
2021-01-18 03:00:00,-32,124,13.0,28.76
2021-01-19 03:00:00,-32,124,13.0,31.39
2021-01-12 03:15:00,-32,128,13.53,22.74
2021-01-13 03:15:00,-32,128,13.12,22.98
2021-01-14 03:15:00,-32,128,12.38,20.47
