city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Albany,-35.0228,117.8814,Australia,AU,Western Australia,,34205,29373
Augusta,-34.312,115.159,Australia,AU,Western Australia,,1109,1109
Australind,-33.2792,115.715,Australia,AU,Western Australia,,14539,14539
Bakers Hill,-31.751,116.455,Australia,AU,Western Australia,,1118,1118
Bentley,-32.001,115.924,Australia,AU,Western Australia,,8782,8782
Beverley,-32.109,116.926,Australia,AU,Western Australia,,1163,1163
Bindoon,-31.38,116.097,Australia,AU,Western Australia,,1183,1183
Binningup,-33.149,115.689,Australia,AU,Western Australia,,1227,1227
Boddington,-32.802,116.471,Australia,AU,Western Australia,,1198,1198
Boyanup,-33.4861,115.73,Australia,AU,Western Australia,,1217,1217
Bridgetown,-33.9583,116.1381,Australia,AU,Western Australia,,2812,2812
Broome,-17.9619,122.2361,Australia,AU,Western Australia,,14445,4042
Bullsbrook,-31.663,116.03,Australia,AU,Western Australia,,5448,5448
Bunbury,-33.3333,115.6333,Australia,AU,Western Australia,,74363,71090
Busselton,-33.6478,115.3458,Australia,AU,Western Australia,,25329,25329
Cannington,-32.0167,115.95,Australia,AU,Western Australia,,5929,5929
Capel,-33.557,115.57,Australia,AU,Western Australia,,2509,2509
Carnarvon,-24.8672,113.6611,Australia,AU,Western Australia,,4426,4426
Chidlow,-31.857,116.272,Australia,AU,Western Australia,,1828,1828
Collie,-33.363,116.156,Australia,AU,Western Australia,,7192,7192
Cowaramup,-33.85,115.11,Australia,AU,Western Australia,,1902,1902
Dampier,-20.66,116.71,Australia,AU,Western Australia,,1104,1104
Denmark,-34.96,117.3531,Australia,AU,Western Australia,,2558,2558
Derby,-17.3056,123.6339,Australia,AU,Western Australia,,3325,3325
Dongara,-29.251,114.934,Australia,AU,Western Australia,,1380,1380
Donnybrook,-33.58,115.82,Australia,AU,Western Australia,,2824,2824
Drummond Cove,-28.673,114.613,Australia,AU,Western Australia,,1477,1477
Dunsborough,-33.6167,115.1,Australia,AU,Western Australia,,5320,5320
Esperance,-33.8611,121.8919,Australia,AU,Western Australia,,12145,2144
Exmouth,-21.9331,114.1281,Australia,AU,Western Australia,,2486,2486
Fitzroy Crossing,-18.1944,125.5667,Australia,AU,Western Australia,,1297,1297
Fremantle,-32.0569,115.7439,Australia,AU,Western Australia,,7459,7459
Geraldton,-28.7744,114.6089,Australia,AU,Western Australia,,37648,37648
Halls Creek,-18.23,127.67,Australia,AU,Western Australia,,1546,1499
Harvey,-33.08,115.89,Australia,AU,Western Australia,,2750,2750
Jarrahdale,-32.339,116.062,Australia,AU,Western Australia,,1192,1192
Jurien Bay,-30.297,115.042,Australia,AU,Western Australia,,1761,1761
Kalbarri,-27.71,114.16,Australia,AU,Western Australia,,1349,1349
Kalgoorlie,-30.7489,121.4658,Australia,AU,Western Australia,,29849,29849
